"session","player","stage.round","contribution","payoff"
"room000009","921165081067240",1,15,36
"room000009","620662563957605",1,10,41
"room000009","476259929784677",1,17,34
"room000009","842301125969181",1,20,31
"room000009","476259929784677",2,17,26.333333333333332
"room000009","620662563957605",2,9,34.33333333333333
"room000009","921165081067240",2,9,34.33333333333333
"room000009","921165081067240",3,1,38.33333333333333
"room000009","476259929784677",3,11,28.333333333333332
"room000009","620662563957605",3,17,22.333333333333332
"room000009","620662563957605",4,1,42.33333333333333
"room000009","476259929784677",4,14,29.333333333333332
"room000009","921165081067240",4,20,23.333333333333332
