"session","player","stage.round","contribution","payoff"
"room000020","670584322660119",1,1,33.5
"room000020","196584679318122",1,6,28.5
"room000020","733100712078038",1,4,30.5
"room000020","886647873455875",1,18,16.5
"room000020","733100712078038",2,3,32.5
"room000020","196584679318122",2,12,23.5
"room000020","886647873455875",2,1,34.5
"room000020","670584322660119",2,15,20.5
"room000020","733100712078038",3,2,29.5
"room000020","196584679318122",3,13,18.5
"room000020","886647873455875",3,1,30.5
"room000020","670584322660119",3,7,24.5
"room000020","670584322660119",4,17,23.5
"room000020","733100712078038",4,1,39.5
"room000020","196584679318122",4,12,28.5
"room000020","886647873455875",4,11,29.5
